,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
0,      'CASE',      'RAD?',        'CM',      'MACH',        'RE',       'ALT',         'Q',      'BETA',       'PHI',      'SREF',       'XCG',      'XMRP',      'LREF',    'LATREF',  'DEFL_1_1',  'DEFL_1_2',  'DEFL_1_3',  'DEFL_1_4',  'DEFL_2_1',  'DEFL_2_2',  'DEFL_2_3',  'DEFL_2_4',     'ALPHA',        'CN',        'CM',        'CA',     'CA_0B',     'CA_FB',        'CY',       'CLN',       'CLL',        'CL',        'CD',     'CL/CD',    'X-C.P.',       'CNA',       'CMA',       'CYB',      'CLNB',      'CLLB',       'CNQ',       'CMQ',       'CAQ',      'CNAD',      'CMAD',       'CYQ',      'CLNQ',      'CLLQ',       'CYR',      'CLNR',      'CLLR',       'CYP',      'CLNP',      'CLLP',       'CNP',       'CMP',       'CAP',       'CNR',       'CMR',       'CAR',     'BA_CN',     'BA_CM',     'BA_CA',     'BA_CY',    'BA_CLN',    'BA_CLL',     'BA_CL',     'BA_CD',  'BA_CL/CD', 'BA_X-C.P.',    'BA_CNA',    'BA_CMA',    'BA_CYB',   'BA_CLNB',   'BA_CLLB',    'BA_CNQ',    'BA_CMQ',    'BA_CAQ',   'BA_CNAD',   'BA_CMAD',    'BA_CYQ',   'BA_CLNQ',   'BA_CLLQ',    'BA_CYR',   'BA_CLNR',   'BA_CLLR',    'BA_CYP',   'BA_CLNP',   'BA_CLLP',    'BA_CNP',    'BA_CMP',    'BA_CAP',    'BA_CNR',    'BA_CMR',    'BA_CAR',    'B+1_CN',    'B+1_CM',    'B+1_CA',    'B+1_CY',   'B+1_CLN',   'B+1_CLL',    'B+1_CL',    'B+1_CD', 'B+1_CL/CD','B+1_X-C.P.',   'B+1_CNA',   'B+1_CMA',   'B+1_CYB',  'B+1_CLNB',  'B+1_CLLB',   'B+1_CNQ',   'B+1_CMQ',   'B+1_CAQ',  'B+1_CNAD',  'B+1_CMAD',   'B+1_CYQ',  'B+1_CLNQ',  'B+1_CLLQ',   'B+1_CYR',  'B+1_CLNR',  'B+1_CLLR',   'B+1_CYP',  'B+1_CLNP',  'B+1_CLLP',   'B+1_CNP',   'B+1_CMP',   'B+1_CAP',   'B+1_CNR',   'B+1_CMR',   'B+1_CAR',,
10,1,1,0.0768,0.4,8.90E+06,400,10820.5488,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,15,1.1745,0.0768,0.1359,0.1359,0.3667,0,0,0,1.0993,0.4353,2.5254,0.0654,7.41,-0.129,-8.1503,0.2312,-0.0264,3.0237,-0.559,-0.1491,3.1052,-0.2067,0,0,0,2.7331,-0.6309,0.0186,0.0081,-0.0061,-0.0485,0.0009,0.0019,0.0011,-0.0069,0.0083,0.0117,0.8323,0.0055,0.0445,0,0,0,0.7924,0.2584,3.0662,0.0067,3.8677,-0.0691,-3.1082,-0.0205,0,2.7391,-0.4668,0,2.8954,-0.1856,0,0,0,2.6953,-0.4668,0,0,0,0,0,0,0,0,0,0,1.3839,0.0299,0.0561,0,0,0,1.3222,0.4123,3.2065,0.0216,6.6427,0.0282,-6.432,-0.1366,-0.0044,2.6116,-0.4673,0,3.0402,-0.1915,0,0,0,2.0712,-0.4885,0.0118,0.0286,0.0004,-0.0195,0.0039,0.0001,0,0.0255,0.001,0,,
11,1,1,0.0667,0.4,8.90E+06,400,10820.5488,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,20,1.8303,0.0667,0.1036,0.1036,0.3291,0,0,0,1.6844,0.7234,2.3286,0.0364,7.484,-0.1061,-8.4189,0.2314,-0.0466,3.3845,-0.5369,-0.1416,3.1052,-0.2067,0,0,0,2.6192,-0.619,0.0283,-0.0264,0.0008,-0.0524,0.0013,0.003,0.0011,0.0095,0.0072,0.009,1.187,-0.0032,0.0308,0,0,0,1.1049,0.4349,2.5405,-0.0027,4.2131,-0.1326,-3.2626,0.0091,0,2.7391,-0.4668,0,2.8954,-0.1856,0,0,0,2.6953,-0.4668,0,0,0,0,0,0,0,0,0,0,1.9905,0.0294,0.0423,0,0,0,1.856,0.7206,2.5757,0.0148,7.1154,-0.042,-6.8368,-0.1021,-0.0145,2.9879,-0.4512,0,3.0402,-0.1915,0,0,0,1.9983,-0.4882,0.015,0.0279,-0.0003,-0.023,0.0046,0.0001,0,0.0347,0.0013,0,,
12,1,1,0.0583,0.4,8.90E+06,400,10820.5488,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,25,2.4807,0.0583,0.0823,0.0823,0.3008,0,0,0,2.2135,1.123,1.971,0.0235,7.2892,-0.0731,-8.2724,0.2191,-0.0428,3.9743,-0.5258,-0.1595,3.1052,-0.2067,0,0,0,2.5915,-0.6186,0.0368,0.0066,-0.0021,-0.0571,0.0143,0.0015,-0.0034,0.0424,0.0021,0.0005,1.5677,-0.0176,0.0156,0,0,0,1.4142,0.6766,2.0901,-0.0112,4.4577,-0.195,-3.363,0.0378,0,2.7391,-0.4668,0,2.8954,-0.1856,0,0,0,2.6953,-0.4668,0,0,0,0,0,0,0,0,0,0,2.6258,0.0225,0.0271,0,0,0,2.3683,1.1343,2.088,0.0086,7.3532,-0.1132,-6.9442,-0.0632,-0.0202,3.5217,-0.4317,0,3.0402,-0.1915,0,0,0,1.96,-0.4871,0.0183,0.049,0,-0.0259,0.0047,0.0001,0,0.0437,0.0016,0,,
13,1,1,0.054,0.4,8.90E+06,400,10820.5488,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,30,3.1025,0.054,0.0767,0.0767,0.2864,0,0,0,2.6485,1.6176,1.6373,0.0174,6.9618,-0.0262,-7.68,0.1502,-0.0269,4.6427,-0.5026,-0.1647,3.1052,-0.2067,0,0,0,2.4731,-0.5998,0.0365,0.1347,-0.0273,-0.0589,0.0167,0.0034,-0.0039,0.0591,0.001,-0.0019,1.965,-0.0373,0.0013,0,0,0,1.7011,0.9836,1.7295,-0.019,4.6485,-0.2562,-3.4044,0.0647,0,2.7391,-0.4668,0,2.8954,-0.1856,0,0,0,2.6953,-0.4668,0,0,0,0,0,0,0,0,0,0,3.2739,0.0096,0.0128,0,0,0,2.8289,1.648,1.7165,0.0029,7.5017,-0.1831,-6.8822,-0.0264,-0.0287,4.1702,-0.4106,0,3.0402,-0.1915,0,0,0,1.9327,-0.4862,0.0199,0.0592,-0.0002,-0.0288,0.0056,0.0002,0,0.0537,0.0019,0,,
14,1,1,0.1887,0.8,1.70E+07,1000,40265.5703,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,-30,-4.2485,0.1887,0.5247,0.5247,0.7479,0,0,0,-3.417,2.5787,-1.3251,-0.0444,8.6168,-0.2621,-8.1801,0.1929,0.042,6.1942,-1.1535,-0.7624,3.1123,-0.2972,0,0,0,2.3693,-0.8277,-0.0572,0.2019,-0.0688,-0.0524,0.0069,-0.001,-0.0044,-0.1086,0.0131,0.0206,-2.2821,0.0637,0.2687,0,0,0,-1.842,1.3738,-1.3409,-0.0279,6.5956,-0.4183,-3.9544,0.1104,0,2.7477,-0.6951,0,2.9026,-0.2762,0,0,0,2.6998,-0.6951,0,0,0,0,0,0,0,0,0,0,-3.5536,0.0311,0.2788,0,0,0,-2.9381,2.0182,-1.4558,-0.0087,9.2089,-0.3834,-7.5829,0.0514,0.0369,4.0075,-0.6583,0,3.0474,-0.282,0,0,0,1.9048,-0.7072,-0.019,-0.0678,0.0011,-0.0283,-0.0059,-0.0001,0,-0.0496,-0.0012,0,,
15,1,1,0.1669,0.8,1.70E+07,1000,40265.5703,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,-25,-3.5056,0.1669,0.5645,0.5645,0.7973,0,0,0,-2.9386,1.9932,-1.4743,-0.0476,8.4092,-0.2364,-8.1666,0.1592,0.0247,5.0885,-1.0602,-0.5981,3.1123,-0.2972,0,0,0,2.1225,-0.7664,-0.0454,0.0498,-0.0299,-0.0421,-0.0003,-0.0001,-0.0017,-0.1283,0.0189,0.0308,-1.7393,0.0319,0.2943,0,0,0,-1.452,1.0018,-1.4494,-0.0183,5.8451,-0.3105,-3.7318,0.0685,0,2.7477,-0.6951,0,2.9026,-0.2762,0,0,0,2.6998,-0.6951,0,0,0,0,0,0,0,0,0,0,-2.7779,0.0028,0.3044,0,0,0,-2.389,1.4499,-1.6477,-0.001,8.568,-0.2649,-7.4814,-0.0006,0.0236,3.3921,-0.6718,0,3.0474,-0.282,0,0,0,1.9213,-0.709,-0.0181,-0.0581,0.0006,-0.026,-0.0051,-0.0001,0,-0.041,-0.0011,0,,
16,1,1,0.1474,0.8,1.70E+07,1000,40265.5703,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,-20,-2.7808,0.1474,0.5881,0.5881,0.8285,0,0,0,-2.412,1.5037,-1.604,-0.053,8.0232,-0.1884,-7.7615,0.1056,0.0135,4.2806,-1.0014,-0.4902,3.1123,-0.2972,0,0,0,2.1436,-0.7575,-0.0381,-0.0109,-0.0105,-0.0377,-0.0028,0.0001,-0.0007,-0.1278,0.0205,0.0339,-1.2619,0.0095,0.3163,0,0,0,-1.0776,0.7289,-1.4785,-0.0075,5.0774,-0.2045,-3.4693,0.0263,0,2.7477,-0.6951,0,2.9026,-0.2762,0,0,0,2.6998,-0.6951,0,0,0,0,0,0,0,0,0,0,-2.0581,-0.0152,0.3265,0,0,0,-1.8223,1.0107,-1.803,0.0074,7.8665,-0.1478,-7.0884,-0.0505,0.0156,2.9075,-0.6845,0,3.0474,-0.282,0,0,0,1.9799,-0.7102,-0.0151,-0.0341,0.0005,-0.0228,-0.0046,-0.0001,0,-0.0327,-0.0009,0,,
17,1,1,0.1341,0.8,1.70E+07,1000,40265.5703,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,-15,-2.1053,0.1341,0.6014,0.6014,0.8476,0,0,0,-1.8779,1.1258,-1.6681,-0.0637,7.2927,-0.1097,-7.0182,0.0219,0.0077,3.6081,-0.94,-0.3791,3.1123,-0.2972,0,0,0,2.2391,-0.7616,-0.0326,-0.0378,-0.0034,-0.033,-0.0045,0.0004,0.0002,-0.1171,0.0201,0.0336,-0.8531,-0.0038,0.3342,0,0,0,-0.7375,0.5437,-1.3566,0.0045,4.264,-0.1021,-3.1864,-0.014,0,2.7477,-0.6951,0,2.9026,-0.2762,0,0,0,2.6998,-0.6951,0,0,0,0,0,0,0,0,0,0,-1.4049,-0.023,0.3444,0,0,0,-1.2679,0.6963,-1.821,0.0164,6.9819,-0.0347,-6.5087,-0.0979,0.0051,2.5603,-0.6962,0,3.0474,-0.282,0,0,0,2.0584,-0.7112,-0.0118,-0.0287,-0.0001,-0.0193,-0.0039,-0.0001,0,-0.0242,-0.0007,0,,
18,1,1,0.1283,0.8,1.70E+07,1000,40265.5703,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,-10,-1.508,0.1283,0.6062,0.6062,0.8563,0,0,0,-1.3798,0.8588,-1.6066,-0.0851,6.4163,-0.0472,-6.1658,-0.0132,0.0065,3.1163,-0.8737,-0.2634,3.1123,-0.2972,0,0,0,2.38,-0.7655,-0.0276,0.0002,-0.0071,-0.0261,-0.0028,0,-0.0001,-0.104,0.0192,0.0323,-0.5177,-0.0083,0.3474,0,0,0,-0.4495,0.4321,-1.0403,0.0161,3.5505,-0.0168,-2.9392,-0.047,0,2.7477,-0.6951,0,2.9026,-0.2762,0,0,0,2.6998,-0.6951,0,0,0,0,0,0,0,0,0,0,-0.8395,-0.0212,0.3576,0,0,0,-0.7646,0.4979,-1.5356,0.0253,5.9701,0.0576,-5.6663,-0.1313,0.0013,2.3977,-0.7046,0,3.0474,-0.282,0,0,0,2.1812,-0.7112,-0.0071,-0.0117,-0.0001,-0.015,-0.003,-0.0001,0,-0.0157,-0.0005,0,,
19,1,1,0.1258,0.8,1.70E+07,1000,40265.5703,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,-5,-0.9854,0.1258,0.6,0.6,0.852,0,0,0,-0.9293,0.6836,-1.3595,-0.1277,5.5166,-0.0409,-5.3631,0.0178,-0.0001,2.9471,-0.8377,-0.2007,3.1123,-0.2972,0,0,0,2.6661,-0.794,-0.0211,-0.0002,-0.0053,-0.0222,-0.0002,-0.0005,-0.0008,-0.0846,0.0166,0.0281,-0.2334,-0.0068,0.3555,0,0,0,-0.2015,0.3745,-0.5381,0.029,2.966,0.0478,-2.6739,-0.0767,0,2.7477,-0.6951,0,2.9026,-0.2762,0,0,0,2.6998,-0.6951,0,0,0,0,0,0,0,0,0,0,-0.3628,-0.013,0.3657,0,0,0,-0.3296,0.3959,-0.8325,0.0357,4.8091,0.1216,-4.6108,-0.1543,-0.0006,2.4057,-0.7085,0,3.0474,-0.282,0,0,0,2.3303,-0.71,-0.0028,-0.0022,0,-0.0103,-0.0023,0,0,-0.0087,-0.0003,0,,
